modelo,falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
mlp,oscilacao,80,40,40,341,38,303,5,0.9857142857142858,0.9615331776342904,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9920318725060079,249,2,2,27
mlp,oscilacao,80,45,45,303,35,268,5,0.964,0.9459134615384616,0.7741935483870968,0.9230769230769231,0.8421052631578947,0.9687499999956752,217,7,2,24
mlp,oscilacao,80,50,50,273,37,236,5,0.9288888888888889,0.8122800844475722,0.76,0.6551724137931034,0.7037037037037037,0.969387755097095,190,6,10,19
mlp,oscilacao,80,55,55,248,27,221,5,0.9658536585365853,0.9177018633540373,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.9782608695599008,180,4,3,18
mlp,oscilacao,80,60,60,227,20,207,5,0.9891891891891892,0.9941520467836258,0.875,1.0,0.9333333333333333,0.988304093561472,169,2,0,14
mlp,oscilacao,80,65,65,210,23,187,5,0.9657142857142857,0.9114372469635628,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9807692307629439,153,3,3,16
mlp,oscilacao,80,70,70,195,20,175,5,0.975,0.9563218390804598,0.8235294117647058,0.9333333333333333,0.875,0.9793103448208325,142,3,1,14
mlp,oscilacao,80,75,75,182,21,161,5,0.9666666666666667,0.9263059701492538,0.8235294117647058,0.875,0.8484848484848485,0.9776119402912119,131,3,2,14
mlp,oscilacao,80,80,80,171,14,157,5,0.9928571428571429,0.9961538461538462,0.9090909090909091,1.0,0.9523809523809523,0.9923076923000592,129,1,0,10
mlp,oscilacao,90,5,5,2719,310,2409,5,0.9664459161147902,0.9531116625310174,0.7959183673469388,0.936,0.8602941176470589,0.9702233250615533,1955,60,16,234
mlp,oscilacao,90,10,10,1360,156,1204,5,0.9690265486725663,0.9513375071143996,0.8181818181818182,0.9285714285714286,0.8698884758364313,0.9741035856564003,978,26,9,117
mlp,oscilacao,90,15,15,907,103,804,5,0.9695364238410596,0.9670467584624212,0.8,0.963855421686747,0.8743169398907104,0.9702380952366515,652,20,3,80
mlp,oscilacao,90,20,20,680,78,602,5,0.9628318584070796,0.9305002213368747,0.8,0.8888888888888888,0.8421052631578947,0.9721115537829241,488,14,7,56
mlp,oscilacao,90,25,25,544,64,480,5,0.9688888888888889,0.9568037741412354,0.8135593220338984,0.9411764705882353,0.8727272727272727,0.9724310776917985,388,11,3,48
mlp,oscilacao,90,30,30,454,52,402,5,0.9733333333333334,0.9529355922301739,0.8444444444444444,0.926829268292683,0.8837209302325582,0.9790419161647335,327,7,3,38
mlp,oscilacao,90,35,35,389,43,346,5,0.975,0.9324252982789568,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9860627177665992,283,4,4,29
mlp,oscilacao,90,40,40,340,39,301,5,0.975,0.9566666666666667,0.8484848484848485,0.9333333333333333,0.8888888888888888,0.97999999999608,245,5,2,28
mlp,oscilacao,90,45,45,303,37,266,5,0.972,0.9842342342342343,0.8,1.0,0.8888888888888888,0.9684684684641061,215,7,0,28
mlp,oscilacao,90,50,50,272,36,236,5,0.96,0.9182793807178043,0.8333333333333334,0.8620689655172413,0.847457627118644,0.9744897959133955,191,5,4,25
mlp,oscilacao,90,55,55,248,28,220,5,0.9853658536585366,0.9718082463984103,0.9130434782608695,0.9545454545454546,0.9333333333333333,0.9890710382459614,181,2,1,21
mlp,oscilacao,90,60,60,227,26,201,5,0.972972972972973,0.9383322764743183,0.85,0.8947368421052632,0.8717948717948718,0.9819277108374583,163,3,2,17
mlp,oscilacao,90,65,65,210,25,185,5,0.9828571428571429,0.9685483870967742,0.9047619047619048,0.95,0.926829268292683,0.9870967741871801,153,2,1,19
