falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp
queda,50,5,5,2669,172,2497,5,0.9882882882882883,0.9874517374517375,0.8588235294117647,0.9864864864864865,0.9182389937106918,2048,24,2,146
queda,10,5,5,2677,60,2617,5,0.9959641255605381,0.9791622518895247,0.8771929824561403,0.9615384615384616,0.9174311926605505,2171,7,2,50
queda,50,n/3,16,834,52,782,5,0.9884892086330935,0.9938556067588326,0.8461538461538461,1.0,0.9166666666666666,643,8,0,44
queda,40,1,1,13353,719,12634,5,0.9893932584269662,0.9890457004588308,0.8460471567267683,0.9886547811993517,0.9118086696562033,10397,111,7,610
queda,40,5,5,2671,144,2527,5,0.9892134831460674,0.986699881776727,0.8472222222222222,0.9838709677419355,0.9104477611940298,2079,22,2,122
queda,30,1,1,13363,579,12784,5,0.9903008531656937,0.9882106135591515,0.8291032148900169,0.9859154929577465,0.9007352941176471,10537,101,7,490
queda,30,5,5,2673,116,2557,5,0.9901123595505618,0.9852941176470589,0.8305084745762712,0.98,0.8990825688073395,2105,20,2,98
queda,30,n/3,10,1337,58,1279,5,0.9900900900900901,0.9852830188679245,0.8305084745762712,0.98,0.8990825688073395,1050,10,1,49
queda,20,5,5,2675,88,2587,5,0.9910112359550561,0.9826541108471505,0.8043478260869565,0.9736842105263158,0.8809523809523809,2131,18,2,74
queda,20,1,1,13373,439,12934,5,0.9910233393177738,0.9838362145980519,0.8017429193899782,0.9761273209549072,0.8803827751196173,10672,91,9,368
queda,10,1,1,13383,299,13084,5,0.9930941704035875,0.9831682503417574,0.78125,0.9727626459143969,0.8665511265164645,10823,70,7,250
queda,20,n/3,6,2229,73,2156,5,0.9897574123989218,0.9635590018530846,0.7945205479452054,0.9354838709677419,0.8592592592592593,1778,15,4,58
queda,10,n/3,3,4461,99,4362,5,0.9924629878869449,0.9789094150056716,0.7663551401869159,0.9647058823529412,0.8541666666666666,3605,25,3,82
stuck,90,1,1,13303,2738,10565,5,0.8356337392873252,0.6762307636339481,0.6960711638250556,0.39940450871969374,0.5075675675675676,8324,410,1412,939
stuck,80,1,1,13313,2518,10795,5,0.8448151487826872,0.6561716060303793,0.7075471698113207,0.34706154558074964,0.4656938838869916,8619,310,1411,750
stuck,100,5,5,2659,589,2070,5,0.818510158013544,0.652152519676116,0.7113821138211383,0.3458498023715415,0.4654255319148936,1638,71,331,175
stuck,70,1,1,13323,2298,11025,5,0.8583783783783784,0.6573096624685945,0.7071651090342679,0.3455098934550989,0.46421267893660534,8847,282,1290,681
stuck,80,5,5,2663,501,2162,5,0.8455981941309255,0.6535209432610254,0.7156862745098039,0.3395348837209302,0.4605678233438486,1727,58,284,146
stuck,70,5,5,2665,457,2208,5,0.8599099099099099,0.6544176751663466,0.7213114754098361,0.336734693877551,0.4591304347826087,1777,51,260,132
stuck,90,5,5,2661,545,2116,5,0.8158013544018059,0.6501413901242178,0.6071428571428571,0.36324786324786323,0.45454545454545453,1637,110,298,170
stuck,100,1,1,13293,2958,10335,5,0.8155304740406321,0.6464954128897287,0.7075,0.33412042502951594,0.4538893344025662,8183,351,1692,849
stuck,30,n/3,10,1337,140,1197,5,0.9126126126126126,0.6515912116612538,0.7037037037037037,0.31932773109243695,0.4393063583815029,975,16,81,38
stuck,60,5,5,2667,413,2254,5,0.8702702702702703,0.6458662597416753,0.7088607594936709,0.3163841807909605,0.4375,1820,46,242,112
stuck,80,n/3,26,513,97,416,5,0.8211764705882353,0.6433015714996799,0.5576923076923077,0.35365853658536583,0.43283582089552236,320,23,53,29
